dt,AverageTemperature,Country,GDP,G20
1963-08-01,0.6941896024464832,United States,638600000000.0,True
1964-08-01,0.6749575263336731,United States,685800000000.0,True
1965-08-01,0.6765205572545022,United States,743700000000.0,True
1966-08-01,0.6751613999320422,United States,815000000000.0,True
1967-08-01,0.6859667006455997,United States,861700000000.0,True
1968-08-01,0.6821950390757731,United States,942500000000.0,True
1969-08-01,0.700815494393476,United States,1019900000000.0,True
1970-08-01,0.715018688413184,United States,1073303000000.0,True
1971-08-01,0.6937818552497451,United States,1164850000000.0,True
1972-08-01,0.699252463472647,United States,1279110000000.0,True
1973-08-01,0.7006455997281685,United States,1425376000000.0,True
1974-08-01,0.6769622833843016,United States,1545243000000.0,True
1975-08-01,0.6892626571525654,United States,1684904000000.0,True
1976-08-01,0.6840299014610941,United States,1873412000000.0,True
1977-08-01,0.7104655113829426,United States,2081826000000.0,True
1978-08-01,0.7017669045191981,United States,2351599000000.0,True
1979-08-01,0.6921848453958546,United States,2627334000000.0,True
1980-08-01,0.7059463132857628,United States,2857307000000.0,True
1981-08-01,0.6963982330954809,United States,3207042000000.0,True
1982-08-01,0.6986068637444783,United States,3343789000000.0,True
1983-08-01,0.7394835202174652,United States,3634038000000.0,True
1984-08-01,0.7096839959225281,United States,4037613000000.0,True
1985-08-01,0.6802582398912674,United States,4338979000000.0,True
1986-08-01,0.6859667006455997,United States,4579631000000.0,True
1987-08-01,0.699524294937139,United States,4855215000000.0,True
1988-08-01,0.7235813795446824,United States,5236438000000.0,True
1989-08-01,0.6955147808358818,United States,5641580000000.0,True
1990-08-01,0.7086986068637444,United States,5963144000000.0,True
1991-08-01,0.709004417261298,United States,6158129000000.0,True
1992-08-01,0.6623173632347945,United States,6520327000000.0,True
1993-08-01,0.6960924226979273,United States,6858559000000.0,True
1994-08-01,0.7069996602106693,United States,7287236000000.0,True
1995-08-01,0.7334692490655793,United States,7639749000000.0,True
1996-08-01,0.6964661909616038,United States,8073122000000.0,True
1997-08-01,0.7013931362555216,United States,8577554457000.0,True
1998-08-01,0.7237172952769283,United States,9062818202000.0,True
1999-08-01,0.7164458036017669,United States,9630664202000.0,True
2000-08-01,0.7224940536867143,United States,10252345464000.0,True
2001-08-01,0.7357458375806999,United States,10581821399000.0,True
2002-08-01,0.7101936799184506,United States,10936419054000.0,True
2003-08-01,0.7418620455317703,United States,11458243878000.0,True
2004-08-01,0.6855249745158002,United States,12213729147000.0,True
2005-08-01,0.7255521576622495,United States,13036640230000.0,True
2006-08-01,0.716241930003398,United States,13814611414000.0,True
2007-08-01,0.7515460414542983,United States,14451858656000.0,True
2008-08-01,0.698029221882433,United States,14712844084000.0,True
2009-08-01,0.6943934760448522,United States,14448933025000.0,True
2010-08-01,0.7374447842337751,United States,14992052727000.0,True
